# t,q1,q2,q3,q4,q5,q6,q7
1.788378977321800232e+09,1.758233904838562012e-01,2.280873358249664307e-01,3.478018045425415039e-01,5.103622078895568848e-01,-2.098837792873382568e-01,2.432095855474472046e-01,9.038223624229431152e-01
1.788378977372459173e+09,1.736059635877609253e-01,2.257996797561645508e-01,3.521582484245300293e-01,5.047519803047180176e-01,-2.015960365533828735e-01,2.480608224868774414e-01,9.172597527503967285e-01
1.788378977426357508e+09,1.734718680381774902e-01,2.236387729644775391e-01,3.558928668498992920e-01,4.997426569461822510e-01,-1.938948333263397217e-01,2.526123225688934326e-01,9.299685955047607422e-01
1.788378977476730347e+09,1.754211038351058960e-01,2.215062081813812256e-01,3.590542972087860107e-01,4.953124523162841797e-01,-1.866159737110137939e-01,2.571953833103179932e-01,9.419109821319580078e-01
1.788378977528220654e+09,1.794536709785461426e-01,2.194656133651733398e-01,3.616913259029388428e-01,4.916245639324188232e-01,-1.796630769968032837e-01,2.620272636413574219e-01,9.532227516174316406e-01
1.788378977572788239e+09,1.855695843696594238e-01,2.176629453897476196e-01,3.637506067752838135e-01,4.888134598731994629e-01,-1.731367260217666626e-01,2.670780718326568604e-01,9.639176130294799805e-01
1.788378977623087406e+09,1.937688291072845459e-01,2.162756770849227905e-01,3.651569485664367676e-01,4.869879484176635742e-01,-1.672023832798004150e-01,2.722057998180389404e-01,9.739274978637695312e-01
1.788378977672495842e+09,2.040514051914215088e-01,2.154441028833389282e-01,3.656681180000305176e-01,4.860532283782958984e-01,-1.621797382831573486e-01,2.773142755031585693e-01,9.829098582267761230e-01
1.788378977723879337e+09,2.162612825632095337e-01,2.157433927059173584e-01,3.644949495792388916e-01,4.857453703880310059e-01,-1.591143608093261719e-01,2.822507619857788086e-01,9.898898005485534668e-01
1.788378977773041964e+09,2.303984612226486206e-01,2.175169438123703003e-01,3.611093461513519287e-01,4.858599603176116943e-01,-1.587201356887817383e-01,2.868606150150299072e-01,9.940034747123718262e-01
1.788378977823200941e+09,2.466189712285995483e-01,2.204092890024185181e-01,3.558183908462524414e-01,4.861628115177154541e-01,-1.606196165084838867e-01,2.909902930259704590e-01,9.951400756835937500e-01
1.788378977873491287e+09,2.639438509941101074e-01,2.246703207492828369e-01,3.486764729022979736e-01,4.860763847827911377e-01,-1.649194061756134033e-01,2.945318222045898438e-01,9.929783344268798828e-01
1.788378977923438787e+09,2.814202010631561279e-01,2.299612909555435181e-01,3.393189609050750732e-01,4.854400157928466797e-01,-1.719969809055328369e-01,2.974715232849121094e-01,9.872491955757141113e-01
1.788378977973397970e+09,2.979436218738555908e-01,2.359263002872467041e-01,3.280167877674102783e-01,4.842888712882995605e-01,-1.815500855445861816e-01,2.998889684677124023e-01,9.784570932388305664e-01
1.788378978023894310e+09,3.126360177993774414e-01,2.434137016534805298e-01,3.153676688671112061e-01,4.829125106334686279e-01,-1.932027339935302734e-01,3.019378185272216797e-01,9.671634435653686523e-01
1.788378978073823452e+09,3.254973888397216797e-01,2.527112364768981934e-01,3.019439280033111572e-01,4.819318056106567383e-01,-2.063175886869430542e-01,3.040170967578887939e-01,9.542002677917480469e-01
1.788378978123574972e+09,3.362754285335540771e-01,2.634602189064025879e-01,2.884914875030517578e-01,4.815454781055450439e-01,-2.198816090822219849e-01,3.067294657230377197e-01,9.406374096870422363e-01
1.788378978173331976e+09,3.453740477561950684e-01,2.756124734878540039e-01,2.753800451755523682e-01,4.823483824729919434e-01,-2.333546876907348633e-01,3.104883432388305664e-01,9.270924925804138184e-01
1.788378978224057913e+09,3.540967404842376709e-01,2.889924347400665283e-01,2.628282904624938965e-01,4.847980141639709473e-01,-2.463199496269226074e-01,3.155642151832580566e-01,9.136456251144409180e-01
1.788378978274253607e+09,3.623810410499572754e-01,3.031804561614990234e-01,2.510467171669006348e-01,4.884880781173706055e-01,-2.584200501441955566e-01,3.221226036548614502e-01,9.004102945327758789e-01
1.788378978325319767e+09,3.689233958721160889e-01,3.177579045295715332e-01,2.399024069309234619e-01,4.923536181449890137e-01,-2.698119878768920898e-01,3.299519717693328857e-01,8.873108029365539551e-01
1.788378978374724150e+09,3.733824193477630615e-01,3.322807550430297852e-01,2.290849834680557251e-01,4.955386519432067871e-01,-2.808197140693664551e-01,3.386247456073760986e-01,8.740357756614685059e-01
1.788378978432569742e+09,3.757581114768981934e-01,3.463557958602905273e-01,2.184962928295135498e-01,4.976341426372528076e-01,-2.914774715900421143e-01,3.479807376861572266e-01,8.604952096939086914e-01
1.788378978478600264e+09,3.760504722595214844e-01,3.596176207065582275e-01,2.081861793994903564e-01,4.983631074428558350e-01,-3.016359806060791016e-01,3.580278754234313965e-01,8.467093706130981445e-01
1.788378978528866291e+09,3.742594718933105469e-01,3.718971908092498779e-01,1.981933861970901489e-01,4.976221323013305664e-01,-3.112215101718902588e-01,3.686786592006683350e-01,8.328068852424621582e-01
1.788378978575937510e+09,3.703851401805877686e-01,3.828241527080535889e-01,1.885743141174316406e-01,4.952921569347381592e-01,-3.200856745243072510e-01,3.799362182617187500e-01,8.187306523323059082e-01
1.788378978626674652e+09,3.644274771213531494e-01,3.921042680740356445e-01,1.794239729642868042e-01,4.913648664951324463e-01,-3.280592858791351318e-01,3.917765915393829346e-01,8.045454621315002441e-01
1.788378978677197456e+09,3.564847707748413086e-01,3.995188176631927490e-01,1.708492487668991089e-01,4.858173727989196777e-01,-3.349887132644653320e-01,4.040938615798950195e-01,7.904386520385742188e-01
1.788378978725436449e+09,3.467122614383697510e-01,4.048500359058380127e-01,1.629689782857894897e-01,4.786472022533416748e-01,-3.407098352909088135e-01,4.167776405811309814e-01,7.765855193138122559e-01
1.788378978776784182e+09,3.357511162757873535e-01,4.080979228019714355e-01,1.558934599161148071e-01,4.701550304889678955e-01,-3.450998961925506592e-01,4.297287166118621826e-01,7.631656527519226074e-01
1.788378978825222492e+09,3.245242834091186523e-01,4.092624485492706299e-01,1.497791409492492676e-01,4.607356190681457520e-01,-3.479759693145751953e-01,4.428848922252655029e-01,7.503462433815002441e-01
1.788378978875244856e+09,3.138890266418457031e-01,4.083436429500579834e-01,1.448118537664413452e-01,4.507657587528228760e-01,-3.491486012935638428e-01,4.561212062835693359e-01,7.383254766464233398e-01
1.788378978925628424e+09,3.047375679016113281e-01,4.053415060043334961e-01,1.412685811519622803e-01,4.405979514122009277e-01,-3.483283519744873047e-01,4.692247211933135986e-01,7.273433208465576172e-01
1.788378978975495338e+09,2.974766790866851807e-01,4.003090560436248779e-01,1.396621912717819214e-01,4.305065274238586426e-01,-3.450140357017517090e-01,4.819264411926269531e-01,7.179701924324035645e-01
1.788378979094645023e+09,2.922193706035614014e-01,3.935088515281677246e-01,1.403397470712661743e-01,4.207371771335601807e-01,-3.389780223369598389e-01,4.939312040805816650e-01,7.106001973152160645e-01
1.788378979101082802e+09,2.888169884681701660e-01,3.853651285171508789e-01,1.434453278779983521e-01,4.114752113819122314e-01,-3.302203118801116943e-01,5.049697160720825195e-01,7.054619193077087402e-01
1.788378979151747465e+09,2.872695922851562500e-01,3.760644197463989258e-01,1.487692594528198242e-01,4.029483795166015625e-01,-3.190386891365051270e-01,5.148366093635559082e-01,7.025204300880432129e-01
1.788378979202125549e+09,2.878055274486541748e-01,3.658819794654846191e-01,1.557409167289733887e-01,3.953253030776977539e-01,-3.061335980892181396e-01,5.234553217887878418e-01,7.011957764625549316e-01
1.788378979252753496e+09,2.904247939586639404e-01,3.550836741924285889e-01,1.638665199279785156e-01,3.886633813381195068e-01,-2.920966744422912598e-01,5.308478474617004395e-01,7.010232210159301758e-01
1.788378979303582191e+09,2.951273918151855469e-01,3.438982665538787842e-01,1.729099452495574951e-01,3.831720352172851562e-01,-2.772153317928314209e-01,5.370107293128967285e-01,7.020176649093627930e-01
1.788378979353646755e+09,3.019133210182189941e-01,3.328849971294403076e-01,1.827630549669265747e-01,3.790595531463623047e-01,-2.617033123970031738e-01,5.419928431510925293e-01,7.042333483695983887e-01
1.788378979406484365e+09,3.107825815677642822e-01,3.226502239704132080e-01,1.932182163000106812e-01,3.765471875667572021e-01,-2.458820641040802002e-01,5.458517074584960938e-01,7.076799273490905762e-01
1.788378979459521055e+09,3.217351734638214111e-01,3.133948445320129395e-01,2.039553970098495483e-01,3.757456839084625244e-01,-2.301586270332336426e-01,5.484525561332702637e-01,7.122906446456909180e-01
1.788378979507393599e+09,3.343553543090820312e-01,3.056146204471588135e-01,2.146723866462707520e-01,3.766727745532989502e-01,-2.150339931249618530e-01,5.495741963386535645e-01,7.180230617523193359e-01
1.788378979556827068e+09,3.482420742511749268e-01,2.999177277088165283e-01,2.251323163509368896e-01,3.791989386081695557e-01,-2.009813934564590454e-01,5.490233302116394043e-01,7.246801257133483887e-01
1.788378979603901625e+09,3.624072372913360596e-01,2.963041663169860840e-01,2.349397540092468262e-01,3.825811445713043213e-01,-1.885447949171066284e-01,5.464776754379272461e-01,7.317842245101928711e-01
1.788378979655268192e+09,3.751685917377471924e-01,2.945581376552581787e-01,2.437494695186614990e-01,3.860803842544555664e-01,-1.780270785093307495e-01,5.421054363250732422e-01,7.392591834068298340e-01
1.788378979703867912e+09,3.858466148376464844e-01,2.941280603408813477e-01,2.516448497772216797e-01,3.893153071403503418e-01,-1.691098958253860474e-01,5.364635586738586426e-01,7.470829486846923828e-01
1.788378979754584551e+09,3.944413065910339355e-01,2.945998013019561768e-01,2.588513195514678955e-01,3.921736478805541992e-01,-1.613966971635818481e-01,5.299038290977478027e-01,7.552174329757690430e-01
1.788378979804449558e+09,4.009526669979095459e-01,2.959071099758148193e-01,2.652829587459564209e-01,3.946392238140106201e-01,-1.549720466136932373e-01,5.223938226699829102e-01,7.635569572448730469e-01
1.788378979854862452e+09,4.053806960582733154e-01,2.981689274311065674e-01,2.704713642597198486e-01,3.966231346130371094e-01,-1.504349708557128906e-01,5.135243535041809082e-01,7.717037796974182129e-01
1.788378979904673815e+09,4.077253937721252441e-01,3.013838827610015869e-01,2.742900252342224121e-01,3.981396555900573730e-01,-1.479165107011795044e-01,5.032757520675659180e-01,7.794995307922363281e-01
1.788378979954202890e+09,4.079867601394653320e-01,3.055107295513153076e-01,2.767951190471649170e-01,3.993744254112243652e-01,-1.472845226526260376e-01,4.919076263904571533e-01,7.870256304740905762e-01
1.788378980004859447e+09,4.061647951602935791e-01,3.106619715690612793e-01,2.776408195495605469e-01,4.007186591625213623e-01,-1.488154530525207520e-01,4.797459542751312256e-01,7.943844199180603027e-01
1.788378980054709196e+09,4.022594690322875977e-01,3.166049122810363770e-01,2.768913209438323975e-01,4.020861685276031494e-01,-1.523065865039825439e-01,4.672048985958099365e-01,8.015659451484680176e-01
1.788378980104629517e+09,3.962708115577697754e-01,3.230124115943908691e-01,2.749532163143157959e-01,4.031255841255187988e-01,-1.572341918945312500e-01,4.546002745628356934e-01,8.085134625434875488e-01
1.788378980154830694e+09,3.881988227367401123e-01,3.299014270305633545e-01,2.718656957149505615e-01,4.040037989616394043e-01,-1.634881347417831421e-01,4.422630369663238525e-01,8.153805136680603027e-01
1.788378980205931187e+09,3.783113956451416016e-01,3.372351229190826416e-01,2.667511701583862305e-01,4.053161740303039551e-01,-1.717993021011352539e-01,4.307343661785125732e-01,8.222058415412902832e-01
1.788378980255563021e+09,3.666085004806518555e-01,3.448610305786132812e-01,2.593633532524108887e-01,4.073434770107269287e-01,-1.822883188724517822e-01,4.204212725162506104e-01,8.293309807777404785e-01
1.788378980305362225e+09,3.528222441673278809e-01,3.524844944477081299e-01,2.505131065845489502e-01,4.097037911415100098e-01,-1.941090077161788940e-01,4.112697243690490723e-01,8.372069597244262695e-01
1.788378980355581045e+09,3.369526565074920654e-01,3.595481216907501221e-01,2.406000643968582153e-01,4.119175374507904053e-01,-2.067783623933792114e-01,4.031539261341094971e-01,8.459154963493347168e-01
1.788378980408225060e+09,3.198817670345306396e-01,3.653238415718078613e-01,2.297562062740325928e-01,4.139266610145568848e-01,-2.199877798557281494e-01,3.959937989711761475e-01,8.554922938346862793e-01
1.788378980459577084e+09,3.032740056514739990e-01,3.693413138389587402e-01,2.182210981845855713e-01,4.160943031311035156e-01,-2.333476990461349487e-01,3.896107971668243408e-01,8.659319877624511719e-01
1.788378980508535862e+09,2.882359921932220459e-01,3.716768026351928711e-01,2.064585685729980469e-01,4.187789261341094971e-01,-2.463924586772918701e-01,3.837632536888122559e-01,8.773158788681030273e-01
1.788378980561176777e+09,2.751866281032562256e-01,3.727340400218963623e-01,1.949140578508377075e-01,4.219733476638793945e-01,-2.588022351264953613e-01,3.782038986682891846e-01,8.893067836761474609e-01
1.788378980606564760e+09,2.642205953598022461e-01,3.728654980659484863e-01,1.838003545999526978e-01,4.254544377326965332e-01,-2.704773545265197754e-01,3.728498220443725586e-01,9.013080596923828125e-01
