# t,q1,q2,q3,q4,q5,q6,q7
1.788366859917273998e+09,2.090297490358352661e-01,-5.342821776866912842e-02,2.743879258632659912e-01,8.253651261329650879e-01,-1.104872524738311768e-01,3.213863670825958252e-01,-1.412096858024597168e+00
1.788366859932727337e+09,2.175817340612411499e-01,-5.575850605964660645e-02,2.749315500259399414e-01,8.109971880912780762e-01,-1.091374754905700684e-01,3.231830000877380371e-01,-1.405081748962402344e+00
1.788366859956649542e+09,2.331232130527496338e-01,-6.043353676795959473e-02,2.758633494377136230e-01,7.823678851127624512e-01,-1.066525354981422424e-01,3.264338970184326172e-01,-1.390080928802490234e+00
1.788366859972187996e+09,2.401127070188522339e-01,-6.276880949735641479e-02,2.762615382671356201e-01,7.681586146354675293e-01,-1.055059954524040222e-01,3.278913199901580811e-01,-1.382148027420043945e+00
1.788366859996792555e+09,2.525291740894317627e-01,-6.741259247064590454e-02,2.769432663917541504e-01,7.400518655776977539e-01,-1.033854484558105469e-01,3.304720520973205566e-01,-1.365516424179077148e+00
1.788366860012629271e+09,2.579561769962310791e-01,-6.971292197704315186e-02,2.772333621978759766e-01,7.261926531791687012e-01,-1.024047806859016418e-01,3.315973281860351562e-01,-1.356856942176818848e+00
1.788366860037329674e+09,2.672476470470428467e-01,-7.425867766141891479e-02,2.777234613895416260e-01,6.989417672157287598e-01,-1.005915999412536621e-01,3.335165083408355713e-01,-1.338930845260620117e+00
1.788366860052838326e+09,2.711121439933776855e-01,-7.649870961904525757e-02,2.779278457164764404e-01,6.855818033218383789e-01,-9.975453466176986694e-02,3.343114256858825684e-01,-1.329697370529174805e+00
1.788366860076733112e+09,2.772786319255828857e-01,-8.091036975383758545e-02,2.782587110996246338e-01,6.594563722610473633e-01,-9.821444004774093628e-02,3.355711102485656738e-01,-1.310755014419555664e+00
1.788366860093063354e+09,2.795806229114532471e-01,-8.307921886444091797e-02,2.783873379230499268e-01,6.467180848121643066e-01,-9.750882536172866821e-02,3.360364437103271484e-01,-1.301075339317321777e+00
1.788366860117272377e+09,2.826220989227294922e-01,-8.734269440174102783e-02,2.785681486129760742e-01,6.219405531883239746e-01,-9.622804820537567139e-02,3.366374373435974121e-01,-1.281352519989013672e+00
1.788366860133135319e+09,2.833615839481353760e-01,-8.943482488393783569e-02,2.786216139793395996e-01,6.099246144294738770e-01,-9.565149247646331787e-02,3.367736041545867920e-01,-1.271334767341613770e+00
1.788366860157630920e+09,2.832780778408050537e-01,-9.353791177272796631e-02,2.786516547203063965e-01,5.866808891296386719e-01,-9.462889283895492554e-02,3.367206454277038574e-01,-1.251035094261169434e+00
1.788366860173665762e+09,2.824550569057464600e-01,-9.554622322320938110e-02,2.786306738853454590e-01,5.754714608192443848e-01,-9.418202191591262817e-02,3.365374803543090820e-01,-1.240776658058166504e+00
1.788366860199444056e+09,2.792465388774871826e-01,-9.946379810571670532e-02,2.785234749317169189e-01,5.539234280586242676e-01,-9.341599047183990479e-02,3.358668386936187744e-01,-1.220098495483398438e+00
1.788366860214370251e+09,2.768610417842864990e-01,-1.013675257563591003e-01,2.784399390220642090e-01,5.436065793037414551e-01,-9.309480339288711548e-02,3.353812694549560547e-01,-1.209703683853149414e+00
1.788366860237784386e+09,2.705275118350982666e-01,-1.050192117691040039e-01,2.782247066497802734e-01,5.239529609680175781e-01,-9.256861358880996704e-02,3.341339230537414551e-01,-1.188883066177368164e+00
1.788366860253897190e+09,2.665795087814331055e-01,-1.067533642053604126e-01,2.780976295471191406e-01,5.146422982215881348e-01,-9.236050397157669067e-02,3.333781957626342773e-01,-1.178488969802856445e+00
1.788366860278088093e+09,2.571209967136383057e-01,-1.099798008799552917e-01,2.778143882751464844e-01,4.971245825290679932e-01,-9.205016493797302246e-02,3.316338956356048584e-01,-1.157821178436279297e+00
1.788366860294203758e+09,2.516104876995086670e-01,-1.114543378353118896e-01,2.776624858379364014e-01,4.889447689056396484e-01,-9.194582700729370117e-02,3.306530117988586426e-01,-1.147581338882446289e+00
1.788366860318310976e+09,2.390269637107849121e-01,-1.140699461102485657e-01,2.773332595825195312e-01,4.738164842128753662e-01,-9.184768795967102051e-02,3.285104334354400635e-01,-1.127375245094299316e+00
