t,joint,phase,cmd,meas,effort,temp,meas_rj_dg_1_1,meas_rj_dg_1_2,meas_rj_dg_1_3,meas_rj_dg_1_4,meas_rj_dg_2_1,meas_rj_dg_2_2,meas_rj_dg_2_3,meas_rj_dg_2_4,meas_rj_dg_3_1,meas_rj_dg_3_2,meas_rj_dg_3_3,meas_rj_dg_3_4,meas_rj_dg_4_1,meas_rj_dg_4_2,meas_rj_dg_4_3,meas_rj_dg_4_4,meas_rj_dg_5_1,meas_rj_dg_5_2,meas_rj_dg_5_3,meas_rj_dg_5_4,temp_rj_dg_1_1,temp_rj_dg_1_2,temp_rj_dg_1_3,temp_rj_dg_1_4,temp_rj_dg_2_1,temp_rj_dg_2_2,temp_rj_dg_2_3,temp_rj_dg_2_4,temp_rj_dg_3_1,temp_rj_dg_3_2,temp_rj_dg_3_3,temp_rj_dg_3_4,temp_rj_dg_4_1,temp_rj_dg_4_2,temp_rj_dg_4_3,temp_rj_dg_4_4,temp_rj_dg_5_1,temp_rj_dg_5_2,temp_rj_dg_5_3,temp_rj_dg_5_4
400377.500801922,rj_dg_1_4,back,-0.08035714285714285,-0.13439035240356337,9.0,40.1,0.024434609527920613,-0.005235987755982989,0.026179938779914945,-0.13439035240356337,-0.010471975511965978,0.010471975511965978,0.022689280275926284,0.03316125578789226,-0.020943951023931956,0.022689280275926284,0.03316125578789226,0.024434609527920613,-0.022689280275926284,0.04363323129985824,0.04014257279586958,0.024434609527920613,-0.03316125578789226,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.6,43.300000000000004,42.1,41.2,42.2,43.1,41.0,39.300000000000004,40.6,40.5
400377.510794759,rj_dg_1_4,back,-0.07738095238095238,-0.13089969389957473,9.0,40.1,0.027925268031909273,-0.005235987755982989,0.026179938779914945,-0.13089969389957473,-0.010471975511965978,0.010471975511965978,0.022689280275926284,0.031415926535897934,-0.020943951023931956,0.022689280275926284,0.03316125578789226,0.024434609527920613,-0.024434609527920613,0.04363323129985824,0.04014257279586958,0.024434609527920613,-0.03316125578789226,0.019198621771937624,0.024434609527920613,0.04014257279586958,41.6,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.6,43.300000000000004,42.1,41.2,42.2,43.1,41.0,39.300000000000004,40.6,40.5
400377.511056692,rj_dg_1_4,back,-0.07440476190476192,-0.13089969389957473,9.0,40.1,0.027925268031909273,-0.005235987755982989,0.026179938779914945,-0.13089969389957473,-0.010471975511965978,0.010471975511965978,0.022689280275926284,0.031415926535897934,-0.020943951023931956,0.022689280275926284,0.03316125578789226,0.024434609527920613,-0.024434609527920613,0.04363323129985824,0.04014257279586958,0.024434609527920613,-0.03316125578789226,0.019198621771937624,0.024434609527920613,0.04014257279586958,41.6,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.6,43.300000000000004,42.1,41.2,42.2,43.1,41.0,39.300000000000004,40.6,40.5
400377.520742142,rj_dg_1_4,back,-0.07142857142857142,-0.12217304763960307,9.0,40.1,0.027925268031909273,-0.005235987755982989,0.026179938779914945,-0.12217304763960307,-0.010471975511965978,0.010471975511965978,0.022689280275926284,0.03316125578789226,-0.020943951023931956,0.022689280275926284,0.03316125578789226,0.024434609527920613,-0.022689280275926284,0.04363323129985824,0.04014257279586958,0.026179938779914945,-0.03316125578789226,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.6,43.300000000000004,42.1,41.2,42.2,43.1,41.0,39.300000000000004,40.6,40.5
400377.520975073,rj_dg_1_4,back,-0.06845238095238096,-0.12217304763960307,9.0,40.1,0.027925268031909273,-0.005235987755982989,0.026179938779914945,-0.12217304763960307,-0.010471975511965978,0.010471975511965978,0.022689280275926284,0.03316125578789226,-0.020943951023931956,0.022689280275926284,0.03316125578789226,0.024434609527920613,-0.022689280275926284,0.04363323129985824,0.04014257279586958,0.026179938779914945,-0.03316125578789226,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.6,43.300000000000004,42.1,41.2,42.2,43.1,41.0,39.300000000000004,40.6,40.5
400377.530740882,rj_dg_1_4,back,-0.06547619047619047,-0.11868238913561441,9.0,40.1,0.027925268031909273,-0.0017453292519943296,0.026179938779914945,-0.11868238913561441,-0.010471975511965978,0.010471975511965978,0.022689280275926284,0.03316125578789226,-0.020943951023931956,0.022689280275926284,0.03316125578789226,0.024434609527920613,-0.022689280275926284,0.04363323129985824,0.04014257279586958,0.024434609527920613,-0.03316125578789226,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.6,43.300000000000004,42.1,41.2,42.2,43.1,41.0,39.300000000000004,40.6,40.5
400377.530961116,rj_dg_1_4,back,-0.0625,-0.11868238913561441,9.0,40.1,0.027925268031909273,-0.0017453292519943296,0.026179938779914945,-0.11868238913561441,-0.010471975511965978,0.010471975511965978,0.022689280275926284,0.03316125578789226,-0.020943951023931956,0.022689280275926284,0.03316125578789226,0.024434609527920613,-0.022689280275926284,0.04363323129985824,0.04014257279586958,0.024434609527920613,-0.03316125578789226,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.6,43.300000000000004,42.1,41.2,42.2,43.1,41.0,39.300000000000004,40.6,40.5
400377.540681879,rj_dg_1_4,back,-0.059523809523809534,-0.12217304763960307,9.0,40.1,0.027925268031909273,-0.005235987755982989,0.026179938779914945,-0.12217304763960307,-0.010471975511965978,0.010471975511965978,0.022689280275926284,0.03316125578789226,-0.020943951023931956,0.022689280275926284,0.03316125578789226,0.024434609527920613,-0.024434609527920613,0.04014257279586958,0.04014257279586958,0.024434609527920613,-0.03316125578789226,0.019198621771937624,0.024434609527920613,0.04014257279586958,41.6,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.6,43.300000000000004,42.1,41.2,42.2,43.1,41.0,39.300000000000004,40.6,40.5
400377.540918753,rj_dg_1_4,back,-0.05654761904761904,-0.12217304763960307,9.0,40.1,0.027925268031909273,-0.005235987755982989,0.026179938779914945,-0.12217304763960307,-0.010471975511965978,0.010471975511965978,0.022689280275926284,0.03316125578789226,-0.020943951023931956,0.022689280275926284,0.03316125578789226,0.024434609527920613,-0.024434609527920613,0.04014257279586958,0.04014257279586958,0.024434609527920613,-0.03316125578789226,0.019198621771937624,0.024434609527920613,0.04014257279586958,41.6,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.6,43.300000000000004,42.1,41.2,42.2,43.1,41.0,39.300000000000004,40.6,40.5
400377.55089146,rj_dg_1_4,back,-0.053571428571428575,-0.12217304763960307,3.0,40.1,0.027925268031909273,-0.005235987755982989,0.026179938779914945,-0.12217304763960307,-0.010471975511965978,0.010471975511965978,0.022689280275926284,0.03316125578789226,-0.024434609527920613,0.022689280275926284,0.03316125578789226,0.024434609527920613,-0.022689280275926284,0.04363323129985824,0.04014257279586958,0.026179938779914945,-0.03316125578789226,0.020943951023931956,0.024434609527920613,0.04014257279586958,41.6,41.6,40.1,40.1,40.5,41.0,41.800000000000004,42.6,41.5,42.800000000000004,43.6,43.300000000000004,42.1,41.2,42.2,43.1,41.0,39.300000000000004,40.6,40.5
