# t,q1,q2,q3,q4,q5,q6,q7,palm0,palm1,palm2,palm3,palm4,palm5,a0,a1,a2,a3,a4,a5,a6
1.788365033716217279e+09,8.566488511860370636e-03,-9.801019728183746338e-02,2.244420498609542847e-01,9.040228128433227539e-01,-2.494607418775558472e-01,6.200876086950302124e-02,-1.263479471206665039e+00,2.200000000000000011e-01,1.253299817442894148e-01,4.225272214412689187e-01,4.563742741787019108e-01,-2.530727415391777591e+00,3.011393038107405662e+00,-1.000000000000000000e+00,-8.464849591255187988e-01,1.933055520057678223e-01,1.330029964447021484e-01,-1.000000000000000000e+00,-7.944889366626739502e-02,9.312211275100708008e-01
1.788365033816412449e+09,1.844448782503604889e-02,-9.121099114418029785e-02,2.349405586719512939e-01,9.180941581726074219e-01,-2.336532920598983765e-01,7.661848515272140503e-02,-1.288932800292968750e+00,2.200000000000000011e-01,1.253961992263794289e-01,4.224046277999877752e-01,4.570633046929218346e-01,-2.530727415391777591e+00,3.011135861010185710e+00,-1.000000000000000000e+00,-8.460836410522460938e-01,1.927483081817626953e-01,1.336609721183776855e-01,-1.000000000000000000e+00,-7.969447970390319824e-02,9.334651231765747070e-01
1.788365033916453838e+09,3.017741814255714417e-02,-8.609181642532348633e-02,2.429065406322479248e-01,9.307151436805725098e-01,-2.189867049455642700e-01,9.320444613695144653e-02,-1.313651680946350098e+00,2.200000000000000011e-01,1.253437897562980907e-01,4.224583780765533425e-01,4.559926827257909654e-01,-2.530727415391777591e+00,3.011615565502279157e+00,-1.000000000000000000e+00,-8.464012742042541504e-01,1.929926276206970215e-01,1.326386034488677979e-01,-1.000000000000000000e+00,-7.923639565706253052e-02,9.297668933868408203e-01
1.788365034016694307e+09,4.362905398011207581e-02,-8.252194523811340332e-02,2.481281012296676636e-01,9.418576955795288086e-01,-2.057768404483795166e-01,1.115793809294700623e-01,-1.337342739105224609e+00,2.200000000000000011e-01,1.253406032919884006e-01,4.225414359569549250e-01,4.570215783681862431e-01,-2.530727415391777591e+00,3.011067685126576965e+00,-1.000000000000000000e+00,-8.464205861091613770e-01,1.933701634407043457e-01,1.336211264133453369e-01,-1.000000000000000000e+00,-7.975958287715911865e-02,9.333758354187011719e-01
1.788365034116712093e+09,5.851861089468002319e-02,-8.026219904422760010e-02,2.505718767642974854e-01,9.515571594238281250e-01,-1.942689567804336548e-01,1.314395219087600708e-01,-1.359688282012939453e+00,2.200000000000000011e-01,1.253278377652168596e-01,4.225349843502044789e-01,4.560758232860718797e-01,-2.530727415391777591e+00,3.011689093715500753e+00,-1.000000000000000000e+00,-8.464979529380798340e-01,1.933408379554748535e-01,1.327179968357086182e-01,-1.000000000000000000e+00,-7.916618138551712036e-02,9.300447702407836914e-01
1.788365034218690395e+09,7.449930161237716675e-02,-7.904713600873947144e-02,2.502533793449401855e-01,9.598415493965148926e-01,-1.847042143344879150e-01,1.524565517902374268e-01,-1.380294680595397949e+00,2.200000000000000011e-01,1.252957272529602317e-01,4.226827681064605491e-01,4.561765500722230193e-01,-2.530727415391777591e+00,3.011662363276356391e+00,-1.000000000000000000e+00,-8.466925621032714844e-01,1.940125823020935059e-01,1.328141838312149048e-01,-1.000000000000000000e+00,-7.919170707464218140e-02,9.303511381149291992e-01
1.788365034317020655e+09,9.108549356460571289e-02,-7.852432131767272949e-02,2.474019527435302734e-01,9.668183326721191406e-01,-1.772144138813018799e-01,1.742112785577774048e-01,-1.398787379264831543e+00,2.200000000000000011e-01,1.253343385457992842e-01,4.225804340839385831e-01,4.562993883775029458e-01,-2.530727415391777591e+00,3.011592759584702073e+00,-1.000000000000000000e+00,-8.464585542678833008e-01,1.935474276542663574e-01,1.329314857721328735e-01,-1.000000000000000000e+00,-7.925817370414733887e-02,9.308524131774902344e-01
1.788365034417568445e+09,1.076697111129760742e-01,-7.824736088514328003e-02,2.425467371940612793e-01,9.727256894111633301e-01,-1.717108488082885742e-01,1.961842030286788940e-01,-1.414930820465087891e+00,2.200000000000000011e-01,1.253317224979400846e-01,4.224148690700531006e-01,4.563278665161126790e-01,-2.530727415391777591e+00,3.011013085122743682e+00,-1.000000000000000000e+00,-8.464744091033935547e-01,1.927948594093322754e-01,1.329586803913116455e-01,-1.000000000000000000e+00,-7.981172204017639160e-02,9.313856363296508789e-01
1.788365034517472267e+09,1.236221790313720703e-01,-7.776072621345520020e-02,2.363944798707962036e-01,9.778946638107299805e-01,-1.679368466138839722e-01,2.178547978401184082e-01,-1.428637266159057617e+00,2.200000000000000011e-01,1.253512543439865290e-01,4.224005824327468628e-01,4.568253522898205743e-01,-2.530727415391777591e+00,3.010876647530998707e+00,-1.000000000000000000e+00,-8.463560342788696289e-01,1.927299201488494873e-01,1.334337443113327026e-01,-1.000000000000000000e+00,-7.994201034307479858e-02,9.328693151473999023e-01
1.788365034618105412e+09,1.384096741676330566e-01,-7.668859511613845825e-02,2.297065854072570801e-01,9.826884269714355469e-01,-1.655123829841613770e-01,2.387727946043014526e-01,-1.439966201782226562e+00,2.200000000000000011e-01,1.253947731852531611e-01,4.223524838685989158e-01,4.568118544323425123e-01,-2.530727415391777591e+00,3.011188658698944920e+00,-1.000000000000000000e+00,-8.460922837257385254e-01,1.925112903118133545e-01,1.334208548069000244e-01,-1.000000000000000000e+00,-7.964406162500381470e-02,9.325660467147827148e-01
1.788365034718918800e+09,1.516901701688766479e-01,-7.479835301637649536e-02,2.231689542531967163e-01,9.874302148818969727e-01,-1.640035510063171387e-01,2.586130797863006592e-01,-1.449092507362365723e+00,2.200000000000000011e-01,1.253020215034485185e-01,4.225978744029998957e-01,4.559445897815743720e-01,-2.530727415391777591e+00,3.011702529155140695e+00,-1.000000000000000000e+00,-8.466544151306152344e-01,1.936267018318176270e-01,1.325926780700683594e-01,-1.000000000000000000e+00,-7.915335148572921753e-02,9.295185804367065430e-01
1.788365034818488598e+09,1.633706390857696533e-01,-7.204201072454452515e-02,2.172458916902542114e-01,9.923306107521057129e-01,-1.630303114652633667e-01,2.772056758403778076e-01,-1.456257462501525879e+00,2.200000000000000011e-01,1.253455501794815408e-01,4.225543457269668735e-01,4.564312304559213773e-01,-2.530727415391777591e+00,3.011472519421931171e+00,-1.000000000000000000e+00,-8.463906049728393555e-01,1.934288442134857178e-01,1.330573856830596924e-01,-1.000000000000000000e+00,-7.937299460172653198e-02,9.312790632247924805e-01
1.788365034918547153e+09,1.735700219869613647e-01,-6.853678822517395020e-02,2.121469676494598389e-01,9.974508881568908691e-01,-1.623117178678512573e-01,2.945245206356048584e-01,-1.461719632148742676e+00,2.200000000000000011e-01,1.253705009818077420e-01,4.223346370458602728e-01,4.574668360159068747e-01,-2.530727415391777591e+00,3.010436500343768529e+00,-1.000000000000000000e+00,-8.462393879890441895e-01,1.924301683902740479e-01,1.340463161468505859e-01,-1.000000000000000000e+00,-8.036231994628906250e-02,9.353636503219604492e-01
1.788365035018287182e+09,1.825019717216491699e-01,-6.447990238666534424e-02,2.079046070575714111e-01,1.002776622772216797e+00,-1.616672128438949585e-01,3.106136620044708252e-01,-1.465736150741577148e+00,2.200000000000000011e-01,1.253249955177307418e-01,4.223536312580108421e-01,4.563384775485809230e-01,-2.530727415391777591e+00,3.011015667660792872e+00,-1.000000000000000000e+00,-8.465151786804199219e-01,1.925165057182312012e-01,1.329688131809234619e-01,-1.000000000000000000e+00,-7.980925589799880981e-02,9.313107728958129883e-01
1.788365035118469954e+09,1.904053390026092529e-01,-6.009295955300331116e-02,2.044326961040496826e-01,1.008255481719970703e+00,-1.610025763511657715e-01,3.255547881126403809e-01,-1.468549847602844238e+00,2.200000000000000011e-01,1.253939765691757524e-01,4.222310900688171498e-01,4.568838534085317149e-01,-2.530727415391777591e+00,3.010615647341198020e+00,-1.000000000000000000e+00,-8.460971117019653320e-01,1.919595003128051758e-01,1.334896087646484375e-01,-1.000000000000000000e+00,-8.019124716520309448e-02,9.332129955291748047e-01
1.788365035219250917e+09,1.974993795156478882e-01,-5.558085069060325623e-02,2.015939503908157349e-01,1.013820290565490723e+00,-1.602734029293060303e-01,3.394499421119689941e-01,-1.470381379127502441e+00,2.200000000000000011e-01,1.254112267494202071e-01,4.221995860338211282e-01,4.575528477967379937e-01,-2.530727415391777591e+00,3.010379161757291033e+00,-1.000000000000000000e+00,-8.459925651550292969e-01,1.918163001537322998e-01,1.341284513473510742e-01,-1.000000000000000000e+00,-8.041707426309585571e-02,9.354115724563598633e-01
1.788365035319413185e+09,2.039560377597808838e-01,-5.109931528568267822e-02,1.992633789777755737e-01,1.019422173500061035e+00,-1.594623774290084839e-01,3.523839414119720459e-01,-1.471430420875549316e+00,2.200000000000000011e-01,1.254232841730118231e-01,4.222192490100860618e-01,4.571103833472700551e-01,-2.530727415391777591e+00,3.010962003924530617e+00,-1.000000000000000000e+00,-8.459194898605346680e-01,1.919056773185729980e-01,1.337059289216995239e-01,-1.000000000000000000e+00,-7.986050099134445190e-02,9.335852861404418945e-01
1.788365035421399832e+09,2.099058330059051514e-01,-4.675940051674842834e-02,1.973448097705841064e-01,1.025022983551025391e+00,-1.585619747638702393e-01,3.644233345985412598e-01,-1.471873164176940918e+00,2.200000000000000011e-01,1.253674226999283159e-01,4.222679376602173074e-01,4.566843816025875080e-01,-2.530727415391777591e+00,3.010785439465150315e+00,-1.000000000000000000e+00,-8.462580442428588867e-01,1.921269893646240234e-01,1.332991272211074829e-01,-1.000000000000000000e+00,-8.002910763025283813e-02,9.324867725372314453e-01
1.788365035538795471e+09,2.154578864574432373e-01,-4.262403026223182678e-02,1.957405060529708862e-01,1.030470490455627441e+00,-1.576267331838607788e-01,3.756171762943267822e-01,-1.472423911094665527e+00,2.200000000000000011e-01,1.252959436178207597e-01,4.226448255777359164e-01,4.558797688567607920e-01,-2.530727415391777591e+00,3.011832046169091726e+00,-1.000000000000000000e+00,-8.466912508010864258e-01,1.938401162624359131e-01,1.325307786464691162e-01,-1.000000000000000000e+00,-7.902967184782028198e-02,9.290993213653564453e-01
1.788365035620842695e+09,2.206766158342361450e-01,-3.871396929025650024e-02,1.943226158618927002e-01,1.035378813743591309e+00,-1.568144857883453369e-01,3.859972357749938965e-01,-1.473993539810180664e+00,2.200000000000000011e-01,1.253557980060577559e-01,4.224971729516983077e-01,4.571437300772476231e-01,-2.530727415391777591e+00,3.010928828843607796e+00,-1.000000000000000000e+00,-8.463284969329833984e-01,1.931689679622650146e-01,1.337377727031707764e-01,-1.000000000000000000e+00,-7.989218086004257202e-02,9.339765310287475586e-01
