t_recv,t_send,step_idx,arm_target_0,arm_target_1,arm_target_2,arm_target_3,arm_target_4,arm_target_5,arm_target_6,grip_cmd
1788154335.297924,1788154335.297676,119,-0.230983,-0.155433,0.034018,1.050979,-0.415253,0.373461,-0.327844,0.025377
1788154335.403333,1788154335.402948,120,-0.230474,-0.155626,0.030353,1.051689,-0.411167,0.382120,-0.326546,0.025427
1788154335.510011,1788154335.509811,121,-0.227145,-0.155805,0.031081,1.053223,-0.411957,0.385522,-0.324474,0.025506
1788154335.617300,1788154335.617051,122,-0.225064,-0.157421,0.036240,1.050954,-0.411532,0.380835,-0.321936,0.025440
1788154335.728691,1788154335.728455,123,-0.223941,-0.157659,0.042676,1.047021,-0.413041,0.374488,-0.322736,0.025436
1788154335.831313,1788154335.830942,124,-0.225715,-0.154840,0.046080,1.043918,-0.418790,0.372328,-0.326624,0.025429
1788154335.927165,1788154335.926981,125,-0.230153,-0.150346,0.044517,1.041981,-0.420972,0.377888,-0.329298,0.025372
1788154336.033195,1788154336.032994,126,-0.235420,-0.148164,0.040014,1.040534,-0.421961,0.384746,-0.328315,0.025372
1788154336.141254,1788154336.140843,127,-0.238120,-0.147556,0.034181,1.039514,-0.419798,0.393291,-0.326672,0.025395
1788154336.251003,1788154336.250114,128,-0.237298,-0.147653,0.031166,1.038651,-0.417868,0.399574,-0.323200,0.025423
1788154336.364473,1788154336.364099,129,-0.234049,-0.149121,0.034013,1.037360,-0.417937,0.397871,-0.320048,0.025442
1788154336.466105,1788154336.465916,130,-0.231212,-0.150112,0.040214,1.036543,-0.420491,0.391991,-0.318067,0.025459
1788154336.579509,1788154336.579302,131,-0.230073,-0.151015,0.046053,1.038431,-0.425754,0.384607,-0.317933,0.025440
1788154336.689036,1788154336.688670,132,-0.228843,-0.150518,0.047701,1.044804,-0.428571,0.383927,-0.321769,0.025371
1788154336.796780,1788154336.796586,133,-0.232162,-0.148316,0.044217,1.048274,-0.428405,0.390103,-0.322134,0.025426
1788154336.912518,1788154336.912099,134,-0.236624,-0.147491,0.039095,1.048215,-0.425123,0.398327,-0.319684,0.025390
1788154337.005642,1788154337.005387,135,-0.236915,-0.148361,0.036465,1.047535,-0.420479,0.404490,-0.316461,0.025379
1788154337.131530,1788154337.131289,136,-0.231119,-0.150193,0.038817,1.050048,-0.420631,0.403357,-0.317567,0.025416
1788154337.235516,1788154337.235305,137,-0.226117,-0.151460,0.043944,1.050244,-0.420586,0.397459,-0.320029,0.025423
1788154337.340405,1788154337.340168,138,-0.224750,-0.150315,0.048060,1.049692,-0.424495,0.393206,-0.322990,0.025438
1788154337.447231,1788154337.447017,139,-0.227688,-0.147136,0.047642,1.048025,-0.427567,0.395507,-0.326685,0.025369
1788154337.554779,1788154337.554468,140,-0.233728,-0.145291,0.043559,1.043655,-0.428384,0.400003,-0.329575,0.025508
1788154337.675027,1788154337.674772,141,-0.238506,-0.144405,0.038494,1.036456,-0.423891,0.406683,-0.332644,0.025476
1788154337.784928,1788154337.784704,142,-0.240818,-0.145186,0.035882,1.032321,-0.426412,0.409273,-0.332315,0.025548
1788154337.893748,1788154337.893213,143,-0.240507,-0.147442,0.037491,1.028675,-0.422870,0.407414,-0.330242,0.025483
1788154338.001113,1788154338.000909,144,-0.237730,-0.150679,0.042760,1.025462,-0.422591,0.398823,-0.328921,0.025489
1788154338.098675,1788154338.098495,145,-0.234885,-0.152744,0.049347,1.024848,-0.426465,0.388100,-0.329461,0.025497
1788154338.207825,1788154338.207608,146,-0.233850,-0.152556,0.053197,1.027842,-0.431374,0.382139,-0.332669,0.025454
1788154338.315033,1788154338.314522,147,-0.236061,-0.151611,0.051642,1.030478,-0.430935,0.383815,-0.332689,0.025395
1788154338.422610,1788154338.422426,148,-0.237737,-0.152179,0.047144,1.032907,-0.429191,0.388384,-0.330202,0.025394
1788154338.532711,1788154338.532180,149,-0.236036,-0.151697,0.043571,1.036462,-0.426717,0.395546,-0.327004,0.025584
1788154338.637501,1788154338.637247,150,-0.234921,-0.152626,0.045062,1.035940,-0.423988,0.396632,-0.319479,0.025617
1788154338.745737,1788154338.745494,151,-0.234442,-0.152727,0.050512,1.032267,-0.422562,0.395284,-0.315038,0.025460
1788154338.851584,1788154338.851351,152,-0.232988,-0.151869,0.055501,1.032862,-0.427107,0.392835,-0.316494,0.025483
1788154338.958073,1788154338.957870,153,-0.235981,-0.148929,0.055129,1.034106,-0.429174,0.396823,-0.314152,0.025595
1788154339.074727,1788154339.074536,154,-0.238663,-0.147860,0.052011,1.035921,-0.427331,0.402783,-0.309149,0.025481
1788154339.184895,1788154339.184668,155,-0.238743,-0.148578,0.051029,1.037784,-0.425811,0.406463,-0.305478,0.025422
1788154339.294633,1788154339.294417,156,-0.232711,-0.151564,0.054459,1.042308,-0.423425,0.402806,-0.308297,0.025618
1788154339.404783,1788154339.404588,157,-0.226025,-0.154890,0.059186,1.044809,-0.421922,0.393546,-0.314368,0.025641
1788154339.515001,1788154339.514776,158,-0.222827,-0.156304,0.063127,1.045063,-0.423253,0.385318,-0.320505,0.025499
1788154339.622917,1788154339.622634,159,-0.225406,-0.154002,0.063276,1.042424,-0.425458,0.384409,-0.325937,0.025344
1788154339.733672,1788154339.733448,160,-0.230622,-0.150398,0.059587,1.039368,-0.426424,0.389106,-0.330670,0.025420
1788154339.843117,1788154339.842741,161,-0.236085,-0.148944,0.053494,1.035854,-0.425479,0.394454,-0.333032,0.025318
1788154339.960796,1788154339.959382,162,-0.237692,-0.150014,0.046708,1.034105,-0.423371,0.398972,-0.335600,0.025503
1788154340.066717,1788154340.066509,163,-0.235849,-0.152099,0.042938,1.033652,-0.421902,0.400206,-0.336728,0.025472
1788154340.177826,1788154340.177628,164,-0.232587,-0.155838,0.044464,1.032744,-0.420390,0.393831,-0.333562,0.025351
1788154340.293880,1788154340.293294,165,-0.226375,-0.158935,0.049174,1.033307,-0.419328,0.384512,-0.332200,0.025515
1788154340.400633,1788154340.400451,166,-0.221156,-0.160934,0.055715,1.033601,-0.420780,0.373006,-0.330672,0.025206
1788154340.510046,1788154340.509707,167,-0.219744,-0.160596,0.061006,1.035348,-0.425857,0.364383,-0.330002,0.025144
1788154340.625388,1788154340.625039,168,-0.219428,-0.158476,0.062038,1.039725,-0.426539,0.364375,-0.332847,0.025078
1788154340.734548,1788154340.734363,169,-0.220150,-0.155409,0.058086,1.045297,-0.426317,0.370596,-0.334546,0.025160
1788154340.846526,1788154340.846198,170,-0.223597,-0.153164,0.052352,1.047554,-0.423815,0.379833,-0.331963,0.025108
1788154340.953596,1788154340.953251,171,-0.224789,-0.153677,0.048567,1.047316,-0.417549,0.386710,-0.326469,0.025127
1788154341.064434,1788154341.064097,172,-0.223245,-0.154947,0.049093,1.046813,-0.416862,0.388186,-0.322129,0.025073
1788154341.171579,1788154341.171381,173,-0.216237,-0.157843,0.053728,1.049680,-0.416080,0.381314,-0.324580,0.025077
1788154341.280379,1788154341.277540,174,-0.209933,-0.160085,0.059191,1.052756,-0.417345,0.371356,-0.329034,0.025129
1788154341.372323,1788154341.372132,175,-0.208453,-0.160378,0.062935,1.054836,-0.420272,0.363855,-0.333828,0.025277
1788154341.475820,1788154341.473580,176,-0.209531,-0.158551,0.062296,1.057308,-0.420675,0.363986,-0.340623,0.025123
1788154341.574167,1788154341.573946,177,-0.214946,-0.157193,0.058152,1.055511,-0.419135,0.367375,-0.344135,0.025302
1788154341.686812,1788154341.686589,178,-0.221955,-0.157533,0.053565,1.048461,-0.414463,0.371679,-0.345036,0.025159
1788154341.791713,1788154341.791550,179,-0.223934,-0.160415,0.050348,1.042041,-0.411211,0.371703,-0.346052,0.025302
1788154341.902693,1788154341.902478,180,-0.222893,-0.164097,0.050706,1.038121,-0.413075,0.366175,-0.346417,0.025200
1788154342.011572,1788154342.011391,181,-0.218049,-0.165753,0.053965,1.036752,-0.411076,0.360568,-0.350148,0.025174
1788154342.119371,1788154342.119150,182,-0.213452,-0.165235,0.057922,1.036936,-0.414384,0.353799,-0.355868,0.025199
1788154342.224226,1788154342.223945,183,-0.214941,-0.162388,0.059061,1.034710,-0.416092,0.352078,-0.359053,0.024966
1788154342.322285,1788154342.322100,184,-0.219067,-0.158138,0.055461,1.031578,-0.415710,0.357349,-0.360344,0.024922
1788154342.418552,1788154342.418331,185,-0.223488,-0.155593,0.049432,1.029698,-0.417442,0.364186,-0.358085,0.025278
